Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.863570444513181+0j),(-2.7247671243695963+0j),(-2.8248214224960826+0j)
(-0.919422158889185+0j),(-0.46471370147637175+0j),(-0.5125602639048956+0j)
0.8530605206951185,0.821568918771751,0.8316606297589377,0.495
0.8549876236971725,0.823096970225398,0.8331631191352921,0.5
0.8567639534276709,0.8244841853230165,0.8345225144954449,0.505
0.8583918603788002,0.8257330706693333,0.8357413729400068,0.51
0.8598736990829184,0.8268461257950821,0.8368222442193654,0.515
0.8612118262642124,0.827825841502743,0.8377676690520491,0.52
0.8624085990841333,0.828674698312402,0.8385801775454974,0.525
0.8634663734777237,0.8293951650039342,0.8392622877145574,0.53
0.8643875025767354,0.8299896972506321,0.8398165013436751,0.535
0.8651743352158962,0.8304607363408715,0.8402453070077472,0.54
0.8658292145194427,0.8308107079830378,0.8405511773098456,0.545
0.8663544765641976,0.8310420211906635,0.8407365677497654,0.55
0.866752449116275,0.8311570672437074,0.8408039156701942,0.555
0.8670254504384796,0.8311582187226852,0.8407556392767064,0.56
0.867175788165171,0.8310478286120663,0.840594136728519,0.5650000000000001
0.8672057582422592,0.8308282294699257,0.840321785296147,0.5700000000000001
0.8671176439292287,0.8305017326606656,0.8399409405835392,0.5750000000000001
0.8669137148607247,0.8300706276478402,0.8394539358110662,0.58
0.866596226165462,0.8295371813441983,0.8388630811566723,0.585
0.8661674176396341,0.8289036375163181,0.838170663152535,0.59
0.8656295129727511,0.8281722162409558,0.8373789441343381,0.595
0.8649847190238285,0.8273451134109491,0.8364901617407136,0.6
0.864235225145398,0.8264245002879324,0.8355065284605143,0.605
0.8633832025535556,0.825412523099833,0.834430231225144,0.61
0.8624308037421077,0.8243113026804673,0.8332634310442657,0.615
0.861380161938757,0.8231229341498382,0.8320082626822038,0.62
0.8602333906014652,0.821849486632369,0.8306668343733934,0.625
0.8589925829534927,0.8204930030114886,0.8292412275744403,0.63
0.8576598115550502,0.8190554997187506,0.827733496751396,0.635
0.8562371279102834,0.8175389665554107,0.8261456691999772,0.64
0.8547265621078759,0.8159453665450251,0.8244797448971599,0.645
0.8531301224934901,0.8142766358152929,0.8227376963827477,0.65
0.851449795373346,0.8125346835075036,0.8209214686687162,0.655
0.8496875447465403,0.8107213917123727,0.8190329791753327,0.66
