Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.8614902746293387+0j),(-2.7223976102934087+0j),(-2.8233117448462304+0j)
(-0.9178129382165808+0j),(-0.46305802313530064+0j),(-0.5114825101733056+0j)
0.42593972981911254,0.4233366029716555,0.4297606248520859,0.20500000000000002
0.43852675897643967,0.4355918395316709,0.4421895646902788,0.21
0.4509843747718666,0.4477027600081716,0.45447108068631203,0.215
0.463304988593036,0.45966212239145005,0.4665978165683224,0.22
0.47548153099138935,0.47146323163769105,0.47856297267899167,0.225
0.48750742922886015,0.48309991508345584,0.4903602809619634,0.23
0.49937658566082527,0.49456649874284203,0.5019839808446912,0.23500000000000001
0.5110833569269366,0.505857784463354,0.5134287959934649,0.24
0.5226225339220247,0.516969027916614,0.5246899119166647,0.245
0.5339893225206023,0.5278959174001969,0.5357629543921696,0.25
0.5451793250288086,0.5386345534272742,0.5466439686954996,0.255
0.5561885223386867,0.5491814290811007,0.5573293996051715,0.26
0.5670132567607099,0.5595334111113911,0.567816072162467,0.265
0.5776502155105968,0.569687721750417,0.5781011731627946,0.27
0.588096414827982,0.5796419212266428,0.5881822333564161,0.275
0.5983491847045475,0.589393890954393,0.5980571103365544,0.28
0.6084061542004291,0.5989418173782279,0.6077239720935761,0.28500000000000003
0.6182652373280948,0.608284176451196,0.6171812812137661,0.29
0.627924619483707,0.6174197187267001,0.6264277797023902,0.295
0.6373827444065664,0.6263474550438898,0.6354624744105868,0.3
0.64663830164797,0.635066642787095,0.6442846230463742,0.305
0.6556902145312007,0.6435767727002725,0.6528937207503348,0.31
0.6645376285853202,0.6518775562377975,0.6612894872171162,0.315
0.6731799004355858,0.6599689134334515,0.6694718543443433,0.32
0.6816165871342938,0.667850961269883,0.6774409543908955,0.325
0.6898474359161059,0.6755240025312407,0.6851971086269711,0.33
0.6978723743625608,0.68298851512225,0.6927408164588854,0.335
0.70569150096096,0.6902451418372928,0.7000727450120897,0.34
0.7133050760433602,0.6972946805635473,0.707193719155953,0.34500000000000003
0.7207135130918215,0.7041380749028521,0.7141047119548628,0.35000000000000003
0.7279173703965423,0.7107764051970252,0.7208068355301749,0.355
0.734917343054077,0.7172108799422948,0.7273013323182012,0.36
0.741714255293023,0.7234428275783676,0.7335895667098135,0.365
0.74830905311533,0.7294736886386745,0.7396730170576801,0.37
0.7547027972414367,0.7353050082481951,0.745553268037501,0.375
0.7608966563481773,0.7409384289560549,0.7512320033501407,0.38
0.7668919005884502,0.7463756838902553,0.7567109987518384,0.385
0.7726898953824052,0.7516185902225518,0.7619921154001461,0.39
0.7782920954698634,0.7566690429315106,0.7670772935037209,0.395
0.7837000392143255,0.7615290088524239,0.7719685462640636,0.4
